id,x,y,yaw
0,-534,283.961,2.45382
1,-533.972,283.987,2.45332
2,-533.993,284.028,2.45351
3,-534,284.08,2.45184
4,-534.099,284.186,2.45121
5,-534.223,284.222,2.45241
6,-534.384,284.334,2.45088
7,-534.559,284.621,2.45101
8,-534.785,284.824,2.44759
9,-534.834,284.975,2.44666
10,-535.294,285.488,2.45222
11,-535.456,285.712,2.44708
12,-536.059,286.116,2.44966
13,-536.459,286.546,2.45217
14,-536.954,286.908,2.45323
15,-537.445,287.3,2.45539
16,-537.909,287.746,2.45991
17,-538.416,288.197,2.46395
18,-538.872,288.68,2.46416
19,-539.448,289.002,2.46851
20,-539.907,289.419,2.46614
21,-540.425,289.96,2.46745
22,-540.978,290.471,2.46722
23,-541.66,290.846,2.4682
24,-542.186,291.504,2.4693
25,-542.721,291.945,2.46722
26,-543.564,292.388,2.46667
27,-544.357,292.982,2.47103
28,-545.307,293.746,2.4774
29,-546.181,294.417,2.49006
30,-547.192,294.984,2.51428
31,-548.226,295.599,2.53368
32,-549.146,296.195,2.56611
33,-550.16,297.125,2.61395
34,-551.6,297.634,2.6732
35,-552.602,298.098,2.74404
36,-553.41,298.088,2.82231
37,-552.518,297.89,2.83956
38,-551.401,295.969,2.9029
39,-552.596,296.62,2.97922
40,-553.822,296.623,3.06441
41,-555.416,296.649,-3.13928
42,-557.151,296.693,-3.06789
43,-558.725,296.796,-3.02061
44,-560.477,296.707,-2.95898
45,-561.73,296.437,-2.90058
46,-562.805,295.402,-2.83112
47,-565.774,295.668,-2.80046
48,-569.886,295.277,-2.73427
49,-570.437,295.239,-2.73006
